Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS2,,"There are five hobby clubs in a college viz. photography, yachting, chess, electronics, and gardening. The gardening group meets every second day, the electronics group meets every third day, the chess group meets every fourth day, the yachting group meets every fifth day and the photography group meets every sixth day. How many times do all the five groups meet on the same day within 180 days?",3,5,10,18,A,,Quantitative Ability,LCM HCF,2013,
GS2,,"Out of 130 students appearing in an examination, 62 failed in English, 52 failed in Mathematics, whereas 24 failed in both English and Mathematics. The number of students who passed finally is",40,50,55,60,A,,Quantitative Ability,SETS,2015,
GS2,,"In a group of persons travelling in a bus, 6 persons can speak Tamil, 15 can speak Hindi and 6 can speak Gujarati. In that group none can speak any other language If 2 persons in the group can speak two languages only and one person can speak all the three languages, then how many persons are there in the group?",21,22,23,24,C,,Quantitative Ability,SETS,2015,
GS2,,"There are 50 students admitted to a nursery class. Some students can speak only English and some can speak only Hindi. 10 students can speak both English and Hindi. If the number of students who can speak English is 21, then how many students can speak Hindi, how many can speak only Hindi and how many can speak only English?","21, 11 and 29 respectively","28, 18 and 22 respectively","37, 27 and 13 respectively","39, 29 and 11 respectively",D,,Quantitative Ability,SETS,2014,
GS2,,"In the above figure, circle P represents hardworking people, circle Q represents intelligent people, Circle R represents truthful people and circle S represents honest people. Which region represents the people who are intelligent, honest, and truthful but not hardworking?",6,7,8,11,A,,Quantitative Ability,SETS,2012,5.png
GS2,"In a survey regarding a proposal measure to be introduced, 2878 persons took part of which 1652 were males. 12 persons voted against the proposal which 796 were males. 1425 persons vote for the proposal. 196 females were undecided.",How many females voted for the proposal?,430,600,624,640,B,,Quantitative Ability,SETS,2011,
GS2,"In a survey regarding a proposal measure to be introduced, 2878 persons took part of which 1652 were males. 12 persons voted against the proposal which 796 were males. 1425 persons vote for the proposal. 196 females were undecided.",How many males were undecided?,31,227,426,581,A,,Quantitative Ability,SETS,2011,
GS2,"In a survey regarding a proposal measure to be introduced, 2878 persons took part of which 1652 were males. 12 persons voted against the proposal which 796 were males. 1425 persons vote for the proposal. 196 females were undecided.",How many females were not in favour of the proposal?,430,496,586,1226,A,,Quantitative Ability,SETS,2011,
GS2,,"Raj has ten pairs of red, nine pairs of white and eight pairs of black shoes in a box. If he randomly picks shoes one by one (without replacement) from the box to get a red pair of shoes to wear, what is the maximum number of attempts he has to make?
",27,36,44,45,B,,Quantitative Ability,Probability,2023,
GS2,,"In how many ways can a batsman score exactly 25 runs by scoring single runs, fours and sixes only, irrespective of the sequence of scoring shots?
",18,19,20,21,B,,Quantitative Ability,Probability,2023,
GS2,,"There are four letters and four envelopes and exactly one letter is to be put in exactly one envelope with the correct address. If the letters are randomly inserted into the envelopes, then consider the following statements:
1. It is possible that exactly one letter goes into an incorrect envelope.
2. There are only six ways in which only two letters can go into the correct envelopes.
Which of the statements given above is/are correct?
",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Quantitative Ability,Probability,2023,
GS2,,"A box contains 14 black balls, 20 blue balls, 26 green balls, 28 yellow balls, 38 red balls and 54 white balls. Consider the following statements:
1. The smallest number n such that any n balls drawn from the box randomly must contain one full group of at least one colour is 175.
2. The smallest number m such that any m balls drawn from the box randomly must contain at least one ball of each colour is 167.
Which of the above statements is/are correct?
",1 only,2 only,Both 1 and 2,Neither 1 nor 2,C,,Quantitative Ability,Probability,2023,
GS2,,"What is the sum of all 4-digit numbers less than 2000 formed by the digits 1, 2, 3 and 4, where none of the digits is repeated?
",7998,8028,8878,9238,A,,Quantitative Ability,Probability,2023,
GS2,,"What is the number of selections of 10 consecutive things out of 12 things in a circle taken in the clockwise direction?
",3,11,12,66,C,,Quantitative Ability,Probability,2023,
GS2,,"A flag has to be designed with 4 horizontal stripes using some or all of the colours red, green and yellow. What is the number of different ways in which this can be done so that no two adjacent stripes have the same colour?
",12,18,24,36,C,,Quantitative Ability,Probability,2023,
GS2,,"There are five persons P, Q, R, S and T each one of whom has to be assigned one task. Neither P nor Q can be assigned Task-1 Task-2 must be assigned to either R or S. In how many ways can the assignment be done?
",6,12,18,24,A,,Quantitative Ability,Probability,2023,
GS2,,"The digits 1 to 9 are arranged in three rows in such a way that each row contains three digits, and the number formed in the second row is twice the number formed in the first row; and the number formed in the third row is thrice the number formed in the first row. Repetition of digits is not allowed. If only three of the four digits 2, 3, 7 and 9 are allowed to use in the first row, how many such combinations are possible to be arranged in the three rows?
",4,3,2,1,D,,Quantitative Ability,Probability,2022,
GS2,,"In a tournament of chess having 150 entrants, a player is eliminated whenever he loses a match. It is given that, no match results in a tie/draw. How many matches are played in the entire tournament?
",151,150,149,148,C,,Quantitative Ability,Probability,2022,
GS2,,"How many 3-digit natural numbers (without repetition of digits) are there such that each digit is Odd and the number is divisible by 5?
",8,12,16,24,B,,Quantitative Ability,Probability,2022,
GS2,,"The letters A, B, C, D and E are arranged in such a way that there are exactly two letters between A and E. How many such arrangements are possible?
",12,18,24,36,C,,Quantitative Ability,Probability,2022,
GS2,,"A, B and C are three places such that there are three different roads from A to B, four different roads from B to C and three different roads from A to C. In how many different ways can one travel from A to C using these roads?
",10,13,15,36,C,,Quantitative Ability,Probability,2022,
GS2,,"There is a numeric lock which has a 3-digit PIN. The PIN contains digits 1 to 7. There is no repetition of digits. The digits in the PIN from left to right are in decreasing order. Any two digits in the PIN differ by at least 2. How many maximum attempts does one need to find out the PIN with certainty?
",6,8,10,12,C,,Quantitative Ability,Probability,2022,
GS2,,"One non-zero-digit, one vowel and one consonant from English alphabet (in capital) are to be used in forming passwords, such that each password has to start with a vowel and end with a consonant. How many such passwords can be generated?
",105,525,945,1050,C,,Quantitative Ability,Probability,2022,
GS2,,"There are 9 cups placed on a table arranged in equal number of rows and columns out of which 6 cups contain coffee and 3 cups contain tea. In how many ways can they be arranged so that each row should contain at least one cup of coffee?
",18,27,54,81,D,,Quantitative Ability,Probability,2022,
GS2,,"The sum of three consecutive integers is equal to their product. How many such possibilities are there?
",Only one,Only two,Only three,No such possibility is there,C,,Quantitative Ability,Probability,2022,
GS2,,"What is the number of numbers of the form 0•XY, where X and Y are distinct non-zero digits?
",72,81,90,100,A,,Quantitative Ability,Probability,2022,
GS2,,"On a chess board, in how many different ways can 6 consecutive squares be chosen on the diagonals along a straight path?
",4,6,8,12,B,,Quantitative Ability,Probability,2021,
GS2,,"Using 2, 2, 3, 3, 3 as digits, how many distinct numbers greater than 30000 can be formed?
",3,6,9,12,B,,Quantitative Ability,Probability,2021,
GS2,,"There are 6 persons arranged in a row. Another person has to shake hands with 3 of them so that he should not shake hands with two consecutive persons. In how many distinct possible combinations can the handshakes take place?
",3,4,5,6,B,,Quantitative Ability,Probability,2021,
GS2,,"How many different 5-letter words (with or without meaning) can be constructed using all the letters of the word ‘DELHI’ so that each word has to start with D and end with I?
",24,18,12,6,D,,Quantitative Ability,Probability,2020,
GS2,,"A bag contains 15 red balls and 20 black balls. Each ball is numbered either 1 or 2 or 3.20% of the red balls are numbered 1 and 40% of them are numbered 3. Similarly, among the black balls, 45% are numbered 2 and 30% are numbered 3. A boy picks a ball at random. He wins if the ball is red and numbered 3 or if it is black and numbered 1 or 2. What are the chances of his winning?
",½,4/7,5/9,12 /13,B,,Quantitative Ability,Probability,2018,
GS2,,"A bag contains 20 balls. 8 balls are green, 7 are white and 5 are red. What is the minimum number of balls that must be picked up from the bag blindfolded (without replacing any of it) to be assured of picking at least one ball of each colour?
",17,16,13,11,B,,Quantitative Ability,Probability,2017,
GS2,,"If 2 boys and 2 girls are to be arranged in a row so that the girls are not next to each other, how many possible arrangements are there?
",3,6,12,24,C,,Quantitative Ability,Probability,2017,
GS2,,"In a question paper there are five questions to be attempted and answer to each question has two choices – True (T) or False (F). It is given that no two candidates have given the answers to the five questions in an identical sequence. For this to happen the maximum number of candidates is:
",10,18,26,32,D,,Quantitative Ability,Probability,2016,
